Secteur,Taille_Entreprise,Anciennete_Annees,Ratio_Liquidite_Generale,Ratio_Liquidite_Reduite,Ratio_Endettement,Ratio_Capacite_Remboursement,Taux_Endettement_Net,ROE,ROA,Marge_Nette,Marge_Brute,Chiffre_Affaires_Log,Croissance_CA,Ratio_Fonds_Propres,Ratio_Tresorerie_Nette,Delai_Paiement_Clients_Jours,Delai_Paiement_Fournisseurs_Jours,Ratio_Couverture_Interets,Score_Altman_Z,Nb_Incidents_Paiement_12M,Nb_Credits_En_Cours,Defaut_Paiement
Commerce,TPE,3,2.45,2.15,0.56,8.24,0.06,0.431,0.085,-0.112,0.258,18.95,0.1,0.63,0.56,108,16,4.49,3.14,0,5,0
Industrie,PME,45,2.85,0.65,1.94,9.15,0.18,0.12,-0.073,0.072,0.407,10.12,0.347,0.63,0.63,66,29,18.36,1.51,1,1,1
Tech,Grande Entreprise,3,1.1,0.49,1.92,5.81,1.48,0.28,-0.013,0.329,0.403,19.66,0.163,0.22,-0.4,95,61,18.5,3.15,2,5,1
BTP,TPE,27,2.3,2.42,0.57,12.2,0.47,0.049,-0.005,0.053,0.341,14.74,-0.317,0.78,0.65,114,41,3.35,4.19,0,6,0
Agriculture,PME,43,2.13,0.45,0.76,8.09,0.17,0.204,-0.078,0.304,0.666,17.98,-0.214,0.8,0.66,97,85,14.62,4.36,0,7,0
Agriculture,TPE,40,2.97,1.3,1.8,2.19,0.16,-0.028,-0.058,0.154,0.388,11.27,-0.181,0.11,0.51,21,41,1.97,4.1,0,5,1
Services,Grande Entreprise,38,3.2,1.55,1.94,2.37,1.08,-0.059,0.205,-0.085,0.503,13.96,-0.142,0.75,-0.06,59,27,12.17,4.5,0,0,1
Transport,Grande Entreprise,33,0.34,1.45,0.94,8.28,1.28,0.163,-0.075,0.149,0.722,12.71,0.165,0.27,0.23,73,69,3.98,2.01,0,6,1
Industrie,Grande Entreprise,28,2.46,0.4,0.71,14.08,0.39,0.099,-0.137,0.104,0.7,12.92,0.104,0.57,-0.33,35,31,3.34,2.78,0,7,0
Industrie,PME,1,0.47,0.33,1.1,4.97,0.03,0.164,0.133,0.039,0.718,11.23,-0.197,0.3,0.21,42,89,0.58,4.01,3,3,1
Services,ETI,8,2.06,0.44,1.41,13.11,0.33,-0.071,0.289,-0.128,0.253,18.06,-0.332,0.78,-0.13,17,73,18.85,1.69,2,2,1
Services,ETI,37,1.22,1.55,0.62,11.58,0.08,-0.006,-0.001,0.05,0.076,10.09,-0.229,0.13,0.02,28,24,16.67,2.17,0,2,0
Services,PME,32,1.28,1.45,1.5,4.09,0.16,-0.233,-0.097,-0.156,0.246,13.13,0.584,0.42,-0.26,16,47,2.01,4.24,0,4,1
BTP,ETI,48,1.43,0.74,0.2,1.03,0.65,-0.258,0.107,-0.141,0.259,11.74,0.069,0.37,-0.15,43,51,12.19,3.97,0,2,0
Tech,TPE,43,2.29,1.67,0.19,1.98,0.34,-0.097,0.258,0.05,0.732,15.89,0.467,0.29,-0.39,32,22,5.04,4.87,1,2,0
Industrie,PME,37,1.37,2.09,0.83,11.06,0.77,-0.241,0.203,-0.017,0.537,12.54,0.449,0.53,0.88,51,47,5.65,4.98,2,3,0
BTP,TPE,4,2.64,0.3,0.77,3.4,0.38,-0.217,0.13,0.355,0.111,12.59,0.112,0.15,0.3,59,21,17.55,1.58,3,1,0
Services,TPE,30,1.59,1.35,0.7,5.88,1.41,0.35,-0.008,0.025,0.152,14.88,0.307,0.59,0.1,59,48,2.73,4.55,1,1,0
Industrie,TPE,6,0.52,1.79,1.03,7.77,1.36,-0.269,0.094,0.255,0.167,16.53,-0.207,0.79,0.3,38,85,12.23,0.93,0,3,1
BTP,PME,46,2.81,0.78,0.71,11.02,0.85,0.227,-0.109,0.118,0.523,11.21,0.288,0.65,0.44,60,21,8.32,3.69,2,2,0
Tech,PME,19,1.21,0.91,0.47,2.14,0.53,-0.082,0.156,0.222,0.602,11.76,-0.128,0.7,0.88,26,55,4.22,1.49,2,0,0
BTP,ETI,32,1.68,1.61,0.69,6.39,0.57,0.397,0.176,-0.044,0.695,12.47,0.432,0.32,-0.23,67,69,9.31,1.85,0,5,0
Tech,TPE,9,2.49,2.27,1.95,7.53,0.62,0.088,0.284,0.365,0.755,19.74,-0.316,0.29,-0.06,59,21,18.84,4.76,1,6,0
Services,PME,12,1.36,2.06,0.88,8.34,1.09,-0.056,-0.033,0.118,0.201,13.97,0.373,0.44,0.96,46,32,15.74,1.68,5,5,1
Tech,PME,11,0.48,1.54,0.94,12.37,0.68,0.114,-0.142,0.299,0.282,15.99,-0.3,0.08,0.06,32,57,3.08,3.53,0,7,1
Industrie,ETI,46,1.5,1.88,1.2,2.99,1.29,0.006,0.096,0.019,0.23,12.42,0.481,0.76,-0.47,27,54,17.06,1.3,1,1,0
Services,PME,16,3.32,1.04,1.97,12.21,1.42,0.151,0.168,-0.14,0.319,14.9,-0.096,0.16,-0.28,18,67,18.78,0.92,5,7,1
Industrie,PME,1,2.35,1.67,0.56,10.55,0.5,-0.208,0.206,0.204,0.736,10.74,0.254,0.73,-0.46,37,28,5.9,2.03,0,3,0
Agriculture,ETI,45,2.45,1.27,1.39,8.56,0.84,0.498,-0.063,-0.195,0.481,10.35,0.088,0.11,0.98,76,35,7.0,3.31,0,7,1
Commerce,PME,21,2.32,0.64,1.46,10.64,0.14,0.04,-0.032,0.085,0.604,14.69,-0.034,0.67,-0.08,68,71,2.96,1.62,1,0,1
Tech,TPE,30,0.94,1.81,1.25,6.47,0.3,-0.021,0.081,-0.084,0.418,13.99,0.245,0.16,0.89,88,60,7.23,1.85,5,2,1
Commerce,TPE,13,1.64,1.48,0.27,2.51,0.62,0.268,-0.001,0.176,0.072,11.37,0.548,0.08,0.99,69,40,13.63,3.69,3,3,0
Commerce,ETI,34,2.7,1.02,1.39,10.15,0.31,-0.009,0.237,0.388,0.098,16.88,-0.359,0.59,0.4,83,38,5.81,0.96,0,7,0
Tech,TPE,4,0.62,2.3,0.22,8.11,1.31,0.367,0.063,0.079,0.453,19.93,0.519,0.26,-0.45,54,19,0.63,2.51,3,1,1
Services,ETI,28,1.19,0.25,1.23,9.77,0.24,0.063,0.21,0.29,0.589,13.96,0.209,0.59,-0.38,28,56,7.1,4.74,0,6,0
Agriculture,PME,38,1.18,0.93,1.51,5.4,0.68,0.276,0.111,0.105,0.211,16.25,0.407,0.47,0.22,112,57,9.34,2.29,1,0,1
Industrie,Grande Entreprise,31,1.68,0.33,0.5,13.65,0.91,-0.214,0.198,0.098,0.591,19.63,-0.016,0.13,0.11,42,46,11.54,2.45,2,0,0
BTP,ETI,27,3.44,1.96,1.7,9.02,1.04,0.377,-0.0,0.358,0.658,18.32,0.072,0.75,0.41,86,20,13.83,3.82,0,1,1
Industrie,Grande Entreprise,5,0.52,1.81,0.16,1.74,0.57,0.289,0.224,0.334,0.359,14.64,0.469,0.39,0.16,94,88,1.7,4.01,1,0,0
BTP,PME,25,1.96,0.96,1.7,7.02,1.3,-0.131,-0.026,0.271,0.61,17.37,0.015,0.6,0.9,109,81,9.66,3.96,0,5,1
Industrie,ETI,3,0.87,1.75,0.97,11.47,0.85,-0.184,0.096,-0.022,0.353,11.28,0.135,0.43,0.3,85,21,5.69,4.99,3,6,1
Tech,PME,33,3.41,1.11,0.51,12.01,0.66,-0.047,-0.054,0.127,0.559,15.12,-0.38,0.5,0.54,81,43,18.99,0.82,1,1,1
Agriculture,PME,4,0.66,1.94,0.35,7.67,0.1,0.481,0.064,-0.066,0.623,12.79,-0.241,0.28,0.84,43,48,7.52,4.92,1,5,1
BTP,PME,25,1.59,1.24,1.91,13.47,0.7,-0.095,-0.007,0.066,0.794,11.61,0.242,0.2,-0.28,114,21,2.45,4.78,1,3,1
Transport,ETI,20,2.66,1.15,0.24,4.38,1.23,0.065,-0.03,0.091,0.309,14.26,0.317,0.46,-0.16,75,72,1.31,4.33,2,4,0
Services,Grande Entreprise,34,2.55,2.35,0.48,6.45,0.92,-0.276,0.285,0.299,0.358,11.31,0.183,0.38,-0.34,117,45,5.68,2.54,1,6,0
Industrie,ETI,26,1.65,0.78,0.76,13.53,1.25,0.018,-0.078,0.338,0.174,16.99,-0.257,0.34,-0.29,82,87,3.99,4.42,1,2,0
Industrie,PME,5,1.41,0.48,1.28,13.5,0.74,0.157,0.204,0.049,0.203,14.56,0.045,0.55,0.27,23,59,13.17,1.49,2,3,1
BTP,PME,35,1.57,1.54,1.14,10.44,0.18,0.462,0.293,-0.189,0.57,15.31,-0.045,0.57,-0.02,31,61,17.02,4.06,0,5,0
Services,ETI,28,1.15,2.43,0.34,12.96,0.02,0.113,-0.141,0.317,0.738,11.46,0.096,0.08,0.13,63,86,6.59,1.33,5,2,1
Services,TPE,29,0.96,1.07,0.65,1.79,0.45,0.355,0.165,-0.095,0.346,11.4,0.47,0.3,0.97,77,87,11.77,4.17,0,2,0
Tech,TPE,9,1.85,0.34,0.55,13.04,1.05,0.138,-0.036,0.173,0.185,15.83,0.376,0.36,-0.26,98,87,14.74,3.27,1,5,1
Transport,PME,38,1.16,0.98,0.51,5.15,1.19,-0.267,-0.132,-0.185,0.264,19.85,-0.316,0.12,0.31,92,54,8.27,0.94,0,5,1
Tech,TPE,6,1.22,1.36,0.88,3.09,0.44,-0.048,0.031,0.04,0.391,10.96,0.49,0.23,-0.35,60,44,1.79,4.53,0,6,0
Tech,TPE,19,2.4,0.57,1.44,3.97,0.74,0.16,0.271,0.392,0.268,12.86,0.072,0.09,-0.02,107,76,4.97,3.1,1,1,0
Tech,TPE,44,3.4,1.71,0.51,6.56,0.63,0.46,-0.145,-0.14,0.225,18.69,0.344,0.8,0.29,27,85,17.72,3.45,1,4,0
Tech,TPE,11,2.23,2.49,0.8,4.14,0.62,0.387,0.115,0.054,0.602,10.72,-0.26,0.6,0.92,114,31,16.58,1.78,1,6,1
Tech,TPE,2,0.55,1.24,0.84,5.15,0.35,-0.117,0.076,-0.016,0.056,18.76,0.271,0.12,0.09,59,19,2.19,4.42,0,5,1
Agriculture,Grande Entreprise,47,0.54,1.02,1.96,2.46,0.2,-0.124,0.243,0.343,0.454,15.24,-0.164,0.07,-0.4,67,15,4.87,2.95,1,2,1
Services,PME,44,3.34,1.12,1.91,4.79,0.3,-0.139,-0.112,0.322,0.645,14.08,0.038,0.59,0.08,31,45,15.5,2.4,5,2,1
Tech,PME,44,1.25,0.46,1.62,8.8,0.08,0.438,0.157,-0.057,0.25,13.1,-0.383,0.38,-0.28,61,49,9.98,2.9,0,3,1
Services,PME,9,0.59,2.23,0.56,6.91,0.3,0.382,0.156,-0.151,0.502,12.97,-0.248,0.64,-0.16,76,86,15.32,3.66,1,4,0
Services,TPE,21,2.22,1.15,0.23,5.53,0.01,0.32,0.151,0.176,0.552,13.06,-0.308,0.74,0.43,64,44,4.62,3.63,0,4,0
Commerce,Grande Entreprise,24,2.3,1.09,0.7,11.32,0.94,0.014,0.274,0.002,0.541,18.85,-0.16,0.5,-0.4,57,29,19.08,2.11,0,7,0
Agriculture,ETI,34,2.38,1.72,0.61,13.46,0.47,0.104,0.22,0.203,0.384,17.24,-0.3,0.19,0.2,82,70,15.78,2.23,3,7,0
Tech,TPE,22,1.16,1.22,1.06,11.47,1.46,0.071,-0.131,-0.181,0.31,16.7,0.292,0.64,0.41,98,74,4.35,3.03,1,2,0
Industrie,PME,3,0.35,1.69,1.58,5.31,0.29,-0.097,0.062,-0.12,0.677,17.99,-0.371,0.77,0.13,89,41,11.39,4.66,0,4,1
BTP,ETI,12,3.39,0.34,1.73,11.29,0.52,0.104,0.029,0.212,0.619,12.57,0.218,0.49,-0.47,100,16,2.71,3.85,1,3,1
Transport,Grande Entreprise,28,1.1,2.07,1.71,2.7,0.54,-0.276,-0.01,-0.073,0.291,16.18,-0.259,0.56,0.98,86,88,7.55,2.26,1,1,1
Industrie,PME,30,2.46,2.36,0.78,2.39,0.01,-0.195,0.053,0.315,0.127,14.6,0.545,0.3,0.05,42,78,13.36,2.02,1,2,0
Agriculture,PME,26,2.56,1.69,1.41,5.51,1.26,0.409,0.023,-0.165,0.104,17.82,0.533,0.34,0.67,59,19,6.94,2.86,0,0,1
BTP,TPE,48,2.25,2.4,0.69,12.21,0.05,0.301,0.045,-0.071,0.121,13.09,-0.174,0.6,-0.01,55,82,13.31,4.41,5,2,0
Agriculture,Grande Entreprise,21,1.3,0.55,0.22,4.07,1.41,0.038,0.291,0.399,0.487,16.43,0.214,0.75,0.21,108,27,5.27,0.54,2,2,0
Services,TPE,28,1.17,1.3,1.43,1.42,1.34,0.114,-0.11,0.06,0.089,18.82,-0.372,0.52,0.08,111,37,14.56,3.7,2,1,1
BTP,Grande Entreprise,26,2.21,1.58,0.12,2.41,0.8,-0.004,0.265,0.222,0.303,14.02,0.532,0.64,0.01,111,64,7.51,1.83,1,5,0
Services,PME,33,3.07,1.54,0.88,12.95,0.82,0.293,0.066,-0.09,0.615,10.67,0.123,0.18,-0.47,50,87,15.91,1.44,1,7,1
Industrie,PME,21,3.33,1.12,0.73,9.69,0.98,0.327,0.131,0.166,0.271,15.16,-0.357,0.21,0.04,105,51,3.17,0.55,5,5,0
Industrie,PME,35,0.64,0.98,1.42,4.17,0.58,0.311,0.224,0.236,0.622,13.46,-0.058,0.45,0.83,98,44,7.56,4.53,2,0,1
BTP,TPE,34,0.8,0.49,1.56,8.55,0.97,0.278,0.012,-0.011,0.609,16.72,-0.323,0.18,0.54,47,37,9.55,4.61,0,7,1
BTP,TPE,41,3.32,1.1,0.68,8.15,0.07,-0.136,0.044,0.297,0.234,19.51,-0.007,0.53,-0.28,39,48,8.76,0.78,1,0,0
Tech,TPE,47,2.66,0.57,1.64,10.0,0.08,-0.03,0.034,0.162,0.597,14.86,0.27,0.27,0.39,33,78,8.95,2.85,0,0,0
Agriculture,TPE,18,3.13,1.89,0.66,3.88,0.69,0.076,0.019,0.033,0.611,14.66,0.07,0.64,0.84,61,69,9.17,1.19,0,7,0
Tech,ETI,11,0.95,0.68,0.95,13.03,0.82,-0.035,0.266,0.135,0.348,16.55,-0.016,0.66,0.55,99,85,19.78,3.91,5,5,0
Agriculture,PME,23,2.18,0.33,1.48,4.99,1.33,0.304,0.223,0.146,0.208,11.03,-0.281,0.4,-0.28,47,23,4.27,3.49,1,6,1
Tech,TPE,48,2.54,1.47,1.42,10.56,0.16,-0.037,-0.101,-0.101,0.441,12.54,-0.155,0.19,0.8,81,18,15.49,1.84,1,1,1
Services,Grande Entreprise,22,2.48,1.57,1.98,0.73,1.23,-0.189,-0.101,0.042,0.741,19.19,-0.3,0.54,-0.05,28,80,11.26,1.03,0,4,1
BTP,ETI,17,1.61,2.21,0.53,5.9,0.32,0.019,0.043,0.006,0.53,16.7,0.407,0.79,0.18,93,47,8.57,4.24,0,0,0
Industrie,Grande Entreprise,5,0.35,1.53,1.36,5.6,0.59,0.484,-0.106,0.041,0.18,10.13,-0.265,0.52,0.29,47,46,12.85,3.53,3,7,1
Agriculture,Grande Entreprise,44,2.17,0.99,1.26,8.38,0.47,-0.119,0.129,0.257,0.562,12.05,0.195,0.08,0.78,56,58,17.14,0.53,3,4,1
Agriculture,TPE,11,1.11,2.05,1.84,1.55,0.6,0.19,-0.085,0.09,0.37,16.83,-0.057,0.06,0.9,100,51,9.6,3.33,1,3,1
Industrie,PME,30,1.74,1.44,0.4,11.96,0.23,0.046,0.085,0.364,0.494,17.64,-0.174,0.29,0.89,79,81,17.36,4.15,0,7,0
Tech,ETI,15,3.36,0.38,1.53,3.66,0.76,-0.243,-0.147,-0.024,0.601,18.4,0.239,0.2,-0.49,109,74,2.33,3.16,1,1,1
Agriculture,PME,27,1.58,1.5,1.18,10.32,1.2,0.09,-0.008,0.049,0.436,12.92,0.057,0.66,0.88,61,73,13.24,2.41,0,4,0
Transport,TPE,35,2.99,2.29,0.62,12.15,0.66,0.262,0.155,0.272,0.66,19.31,0.0,0.68,-0.42,49,50,7.0,3.13,0,5,0
Services,ETI,33,0.9,1.11,1.0,8.65,0.74,0.111,0.068,0.128,0.592,15.53,0.193,0.24,-0.1,98,63,8.04,3.29,1,6,0
BTP,TPE,20,2.45,0.88,0.73,11.24,1.27,0.398,0.29,0.128,0.511,16.97,0.091,0.29,0.27,46,65,11.63,3.38,1,5,0
Industrie,TPE,16,3.43,0.53,1.2,10.1,1.06,-0.069,0.243,-0.168,0.163,15.97,-0.097,0.23,0.22,69,22,9.86,4.85,5,0,0
BTP,PME,34,0.63,0.55,1.79,5.66,0.74,-0.231,0.012,0.039,0.677,11.23,0.159,0.73,0.41,68,64,7.94,1.3,2,6,1
Transport,PME,2,0.33,1.2,1.18,12.23,0.39,0.449,-0.13,-0.038,0.752,19.63,0.269,0.43,0.22,90,55,6.51,3.3,0,0,1
Agriculture,PME,35,1.69,1.57,1.3,4.77,1.33,0.003,0.231,0.4,0.153,11.23,-0.373,0.54,0.9,65,52,12.56,1.35,0,6,0
Agriculture,TPE,40,0.6,0.39,1.09,8.78,0.87,0.161,0.26,-0.015,0.416,12.55,0.066,0.36,-0.14,94,69,10.36,1.44,3,4,1
Transport,ETI,28,2.69,2.36,0.2,11.31,0.33,0.334,0.219,0.331,0.244,18.14,-0.342,0.52,-0.09,73,82,6.8,3.51,1,5,0
Industrie,TPE,47,3.23,1.94,0.54,5.99,0.4,-0.041,-0.092,0.206,0.616,16.19,-0.214,0.34,0.88,86,32,4.5,4.62,0,4,1
Services,TPE,39,1.69,1.55,1.03,4.89,1.2,0.273,0.299,0.005,0.591,18.38,0.161,0.3,-0.38,28,79,15.6,1.22,0,3,0
Commerce,ETI,6,1.13,2.11,0.69,7.16,0.07,-0.192,-0.034,0.126,0.156,15.16,0.466,0.53,0.41,32,78,16.09,4.83,2,7,0
Industrie,Grande Entreprise,9,1.69,0.38,0.45,12.36,1.49,-0.067,0.176,0.304,0.708,13.77,0.483,0.49,0.52,69,26,4.67,1.94,3,1,0
Commerce,ETI,20,2.62,1.3,1.06,13.98,0.2,-0.184,0.259,0.33,0.186,19.22,-0.33,0.27,0.26,108,55,5.6,2.26,5,5,0
Transport,ETI,1,0.33,1.65,0.71,8.4,1.19,0.349,-0.044,-0.104,0.648,10.36,0.019,0.16,0.54,111,56,5.16,1.19,0,2,1
Tech,PME,8,2.19,2.11,0.59,10.09,0.59,-0.122,0.259,0.004,0.393,18.56,0.183,0.33,-0.24,112,74,17.75,3.27,1,5,0
Commerce,PME,23,2.26,2.0,0.98,13.6,0.74,0.274,-0.011,0.001,0.296,12.31,-0.253,0.36,0.78,70,64,15.6,3.18,0,3,0
Services,TPE,3,2.34,0.84,0.35,1.93,1.32,0.455,0.289,-0.175,0.169,18.49,0.365,0.52,-0.29,63,50,1.95,2.49,0,5,1
Tech,PME,4,1.07,2.36,1.86,3.87,0.62,0.122,-0.023,0.159,0.176,11.39,0.344,0.74,0.1,112,62,16.74,2.64,0,3,0
Commerce,PME,25,2.58,0.49,1.75,10.78,0.81,0.132,0.279,0.313,0.546,15.8,0.503,0.08,-0.39,74,85,1.22,3.3,2,5,1
Transport,TPE,47,0.59,2.21,1.44,12.44,0.07,0.069,-0.126,0.029,0.463,18.88,-0.392,0.23,0.32,67,87,5.44,3.13,2,3,1
Tech,ETI,38,0.94,2.43,0.3,12.93,0.0,-0.039,0.169,0.244,0.142,14.74,-0.183,0.2,0.5,85,22,18.42,2.18,0,6,0
Transport,PME,15,3.11,0.61,1.57,6.52,0.37,0.081,0.089,0.177,0.135,17.47,0.427,0.43,0.91,20,39,17.35,4.48,2,0,1
Commerce,TPE,21,2.66,1.86,1.64,1.8,1.02,0.182,0.065,0.025,0.104,18.05,0.271,0.37,0.61,84,21,15.74,3.5,1,4,1
Transport,TPE,35,0.34,0.29,1.56,6.85,0.18,0.489,-0.049,-0.115,0.608,17.36,0.494,0.6,0.31,100,22,9.42,1.42,5,7,1
Services,PME,46,1.09,1.13,0.32,3.85,0.17,0.45,0.168,0.226,0.584,19.25,-0.343,0.23,0.9,22,45,6.77,1.94,1,5,0
Commerce,TPE,14,0.99,1.39,1.32,4.72,0.62,0.39,-0.064,0.313,0.094,14.47,0.197,0.5,0.22,115,26,17.69,4.05,0,1,1
Commerce,ETI,36,1.17,1.54,1.69,11.7,0.97,0.411,0.099,0.212,0.47,11.73,0.169,0.71,0.34,29,71,13.31,0.97,5,0,1
Commerce,PME,12,1.09,2.35,1.2,1.6,1.07,0.074,-0.036,-0.189,0.114,10.48,-0.364,0.73,0.39,40,80,6.26,3.88,0,3,0
Industrie,PME,17,0.5,1.75,1.33,12.5,0.27,0.226,0.28,-0.07,0.728,12.46,0.114,0.77,0.11,53,26,9.53,2.11,3,1,1
Industrie,PME,39,1.77,1.31,0.97,6.7,0.12,0.416,-0.137,-0.158,0.73,11.43,0.21,0.63,0.76,17,41,17.69,2.98,0,0,0
Industrie,ETI,9,2.64,2.06,1.1,9.14,1.41,0.014,-0.06,0.142,0.574,15.58,-0.209,0.73,-0.22,71,60,18.12,1.76,5,7,1
Services,PME,35,2.24,2.39,0.17,1.8,0.39,0.469,-0.041,0.254,0.745,11.85,-0.127,0.23,0.33,24,21,13.36,4.94,5,2,0
Tech,PME,13,2.45,0.25,1.31,5.39,1.28,0.033,0.036,-0.134,0.659,10.39,0.24,0.2,0.58,17,75,14.78,4.58,0,5,1
Transport,PME,15,0.56,2.46,0.25,1.8,1.3,0.181,-0.045,0.303,0.671,10.36,0.068,0.05,0.86,108,72,1.27,4.68,1,5,1
Agriculture,TPE,18,3.34,0.4,0.93,14.44,1.16,0.268,0.071,0.133,0.477,18.32,0.458,0.58,0.83,60,72,12.29,1.33,0,3,0
Commerce,ETI,33,2.98,2.07,0.66,12.21,0.25,0.46,0.243,0.214,0.28,15.91,-0.058,0.75,0.26,36,27,13.94,4.29,1,0,0
Transport,ETI,6,2.88,0.84,1.14,7.16,1.23,-0.104,0.17,0.383,0.213,13.58,-0.133,0.19,0.46,81,67,0.9,2.91,5,7,0
Commerce,PME,27,2.93,0.5,0.35,3.74,1.15,0.297,0.111,-0.15,0.295,18.94,0.585,0.53,0.09,79,79,16.96,3.69,2,0,0
Services,ETI,23,3.28,1.21,1.41,14.04,0.9,0.117,-0.11,0.341,0.521,10.7,0.511,0.61,0.2,111,63,18.6,1.48,2,3,1
Commerce,ETI,27,2.04,1.68,1.61,5.5,0.51,-0.085,0.162,-0.124,0.179,19.8,-0.371,0.75,0.86,33,49,5.14,3.7,1,2,0
Industrie,ETI,34,0.94,1.08,0.41,2.83,0.39,0.321,-0.075,0.036,0.244,16.16,0.371,0.54,0.9,114,31,16.99,4.61,0,5,0
Agriculture,ETI,46,2.27,0.33,0.3,8.67,0.18,0.142,0.204,0.311,0.401,11.83,-0.29,0.78,0.84,76,86,13.48,1.7,0,4,0
BTP,PME,38,2.68,1.58,0.38,14.18,0.76,0.229,-0.037,0.344,0.225,16.79,-0.373,0.31,-0.29,112,81,11.82,1.55,0,2,1
Commerce,PME,14,2.66,2.28,1.77,0.56,0.88,-0.042,0.038,0.104,0.491,17.63,-0.126,0.31,0.78,71,24,16.94,0.97,0,3,0
Transport,PME,36,1.97,1.08,1.1,3.95,0.54,0.085,0.008,0.156,0.742,14.29,-0.131,0.46,0.92,109,48,6.07,1.7,0,4,0
Industrie,ETI,8,0.52,0.7,0.99,14.11,0.71,0.194,0.236,0.225,0.611,18.62,0.419,0.34,0.04,102,18,15.92,2.91,0,0,0
BTP,TPE,35,1.49,1.22,0.3,2.98,0.55,0.024,-0.093,0.3,0.55,11.51,0.311,0.05,0.28,90,43,6.63,4.25,1,6,0
Agriculture,ETI,19,3.25,0.31,1.33,2.14,0.96,-0.141,0.105,-0.127,0.487,12.79,0.582,0.6,0.67,27,60,15.86,1.75,1,7,1
BTP,ETI,30,2.17,2.09,1.75,8.77,1.35,0.469,-0.086,0.286,0.416,10.93,0.312,0.61,0.34,30,89,9.3,3.3,2,6,1
Industrie,TPE,14,2.02,2.1,1.67,13.0,0.25,0.109,0.167,0.089,0.19,12.11,0.018,0.61,0.99,30,60,2.78,2.66,0,7,0
Tech,ETI,20,1.16,1.55,1.29,7.42,0.57,0.287,0.257,0.07,0.721,12.39,0.299,0.31,0.18,66,73,7.94,1.8,0,2,0
Tech,TPE,49,1.48,1.01,0.24,14.92,0.21,0.029,0.046,0.054,0.236,19.18,0.599,0.44,0.57,98,75,5.05,2.8,0,6,0
BTP,PME,25,3.17,2.04,0.31,10.35,0.94,-0.016,0.07,0.106,0.118,10.78,0.31,0.32,0.69,55,82,2.46,1.26,2,2,1
Services,ETI,40,2.43,1.48,0.19,1.57,1.09,0.026,0.267,0.367,0.613,14.27,0.362,0.06,0.24,62,80,2.65,3.38,0,6,0
Transport,TPE,24,2.82,2.1,0.59,14.9,1.4,0.027,0.084,0.129,0.182,15.32,0.538,0.47,0.79,105,48,15.71,1.02,0,7,0
Transport,ETI,14,1.75,1.65,0.36,6.41,0.42,0.135,0.069,0.372,0.329,18.99,-0.286,0.14,0.32,53,19,17.69,3.79,3,5,0
BTP,ETI,26,2.32,2.0,0.59,4.67,1.43,0.135,0.11,-0.092,0.071,19.98,0.305,0.11,0.12,27,23,18.58,1.3,3,6,1
Commerce,PME,38,1.09,1.58,0.83,8.59,0.09,0.098,0.16,0.234,0.153,17.53,0.451,0.62,-0.34,18,34,17.15,4.99,0,7,0
Commerce,TPE,23,2.56,1.15,1.89,4.91,0.9,-0.192,-0.102,0.287,0.18,19.71,0.554,0.06,0.09,110,35,16.69,4.21,1,5,1
Transport,TPE,22,1.67,2.4,1.26,1.75,0.09,0.097,0.219,0.207,0.091,17.87,-0.189,0.77,0.6,118,31,1.84,2.05,0,4,0
Transport,PME,48,1.72,1.44,1.69,0.52,1.34,-0.165,0.046,0.164,0.542,19.63,0.104,0.44,0.88,112,26,15.91,2.42,2,0,0
Tech,Grande Entreprise,19,2.38,1.59,1.45,7.02,0.79,-0.199,-0.117,0.139,0.678,17.07,0.281,0.79,-0.12,117,81,15.77,1.67,2,2,1
Services,PME,46,3.3,0.71,0.31,12.63,1.0,0.446,0.204,0.317,0.33,10.8,-0.153,0.09,0.03,57,19,3.06,3.95,0,4,0
Industrie,TPE,3,0.5,1.64,1.5,8.8,1.25,0.184,0.02,0.293,0.706,14.02,0.2,0.49,-0.27,95,74,13.41,2.21,0,2,1
Commerce,PME,42,2.94,1.51,0.62,14.99,0.23,0.228,-0.105,-0.127,0.21,16.47,-0.142,0.31,0.54,102,67,9.32,3.9,0,6,1
Transport,PME,19,1.24,0.63,1.31,4.66,0.06,0.021,0.135,0.309,0.294,13.51,-0.067,0.68,0.94,107,66,18.05,0.58,1,5,0
Tech,ETI,9,1.72,0.34,0.75,4.57,1.32,0.427,0.246,0.048,0.163,12.73,0.042,0.32,0.46,60,62,14.06,1.11,1,0,0
Agriculture,TPE,28,0.37,1.59,2.0,2.82,0.47,0.21,0.249,-0.048,0.515,15.77,0.129,0.25,0.43,106,33,19.04,2.14,2,6,1
Tech,ETI,20,1.26,1.96,0.6,2.88,0.19,0.315,0.281,0.322,0.365,19.34,0.049,0.69,0.33,61,31,2.55,0.99,0,0,0
Commerce,PME,45,1.91,1.4,0.63,4.64,0.7,-0.005,0.24,0.059,0.51,10.35,0.093,0.33,-0.37,100,68,1.29,3.21,0,1,0
Commerce,Grande Entreprise,7,0.48,0.72,1.87,12.0,0.9,0.468,-0.149,0.285,0.621,17.69,-0.101,0.06,0.59,106,82,19.48,0.73,2,4,1
Tech,PME,14,1.87,1.73,0.15,13.63,0.05,0.356,0.021,-0.042,0.459,17.23,-0.241,0.34,0.4,67,49,2.06,4.37,0,5,0
